,long-haul,short-haul,difference
airline,3.5825636,3.2853973,-0.3
dayOfWeek,1.5205404,1.9184871,0.4
daysBeforeDeparture,4.839475,8.523386,3.68
daysToNearestHoliday,2.2243614,2.219282,-0.01
departureHour,1.1587975,0.935686,-0.22
departureTimeOfDay,1.0780458,0.99876595,-0.08
fareAccel,1.8340279,2.0195735,0.19
fareChangeLag1,1.8146375,2.503632,0.69
fareChangeLag2,2.2158425,2.0865288,-0.13
fareLag1,3.3056583,3.1165004,-0.19
fareLag2,2.6336563,2.4827466,-0.15
fareLag3,2.4235537,2.3996468,-0.02
isBasicEconomy,5.0556035,9.002299,3.95
isHoliday,1.4230944,1.3717283,-0.05
isNonStop,4.2341123,4.014104,-0.22
isRefundable,0.0,0.0,0.0
isSingleCarrier,1.8916229,0.0,-1.89
isSummerSeason,3.3285677,2.6652951,-0.66
isWeekend,1.3423312,2.6088696,1.27
month,4.322069,2.7479699,-1.57
nSegments,1.2366703,2.471034,1.23
observationIndex,3.2683187,3.825636,0.56
rollMean,3.235766,3.205324,-0.03
rollStd,10.718276,8.390484,-2.33
rollStdRatio,3.6641073,3.212063,-0.45
route,2.2739253,1.2269931,-1.05
seatsChangeLag1,1.904982,1.2772111,-0.63
seatsRemainingLag1,7.271458,4.9291205,-2.34
totalTravelDistance,2.721329,2.7456741,0.02
travelDurationMinutes,2.4959497,2.4786685,-0.02
weekOfYear,4.5086493,3.4069448,-1.1
zLag1,6.4720078,7.930945,1.46
