rmse,mae,r2,mean_actual,n_test,model,fold,n_train_flights,n_test_flights,route_type,task,precision,recall,f1,roc_auc,avg_precision,threshold,n_positive,positive_rate
67.23467094113349,37.77025604248047,0.9058447480201721,444.64971923828125,87145,lstm,1,21535,3741,long-haul,regression,,,,,,,,
49.29097627149289,33.2282600402832,0.9312984943389893,358.6754455566406,95245,lstm,2,25276,3408,long-haul,regression,,,,,,,,
41.08930881419308,27.531620025634766,0.9461022615432739,314.8973388671875,91735,lstm,3,28684,3774,long-haul,regression,,,,,,,,
39.013502082311994,24.72866439819336,0.903871476650238,296.2082824707031,82317,lstm,4,32458,3463,long-haul,regression,,,,,,,,
43.703087292171794,24.812129974365234,0.9005455374717712,301.9675598144531,66345,lstm,5,35921,3206,long-haul,regression,,,,,,,,
38.17783704207112,32.45814895629883,0.7716400623321533,148.7130584716797,56401,lstm,1,12144,2274,short-haul,regression,,,,,,,,
45.387212113518274,41.4313850402832,0.6747720837593079,145.45684814453125,66229,lstm,2,14418,2448,short-haul,regression,,,,,,,,
56.72180389505763,52.79790496826172,0.4679802656173706,139.3822479248047,71298,lstm,3,16866,2717,short-haul,regression,,,,,,,,
60.575888209929495,56.83347702026367,0.3691917061805725,139.5508270263672,64811,lstm,4,19583,2499,short-haul,regression,,,,,,,,
57.667662742405945,53.942440032958984,0.3868470788002014,148.54432678222656,50598,lstm,5,22082,2092,short-haul,regression,,,,,,,,
,,,,87145,lstm,1,21535,3741,long-haul,classification,0.11477639196487548,0.7099254986782023,0.19760519098267443,0.7986926140306626,0.19776684357320723,0.5,4161.0,0.04774800619656894
,,,,95245,lstm,2,25276,3408,long-haul,classification,0.13114631873252564,0.7101332256762213,0.2214040718713616,0.8124639507784115,0.291923805341788,0.5,4954.0,0.05201322904089453
,,,,91735,lstm,3,28684,3774,long-haul,classification,0.1844804765056254,0.7328294446270128,0.2947591038265812,0.8368866211888722,0.37595591495708136,0.5,6086.0,0.0663432713795171
,,,,82317,lstm,4,32458,3463,long-haul,classification,0.18382618754970717,0.805863708399366,0.2993641822677499,0.8427590318908195,0.42532614199894014,0.5,6310.0,0.07665488295248855
,,,,66345,lstm,5,35921,3206,long-haul,classification,0.1925234393781553,0.8133039945836155,0.3113458174042636,0.8307342435481392,0.42972009368166525,0.5,5908.0,0.08904966463184867
,,,,56401,lstm,1,12144,2274,short-haul,classification,0.1331336417854564,0.9117216117216117,0.23233996872885113,0.7504495666285778,0.25499228539543717,0.5,5460.0,0.0968067942057765
,,,,66229,lstm,2,14418,2448,short-haul,classification,0.1265269925728855,0.892695135304239,0.22163967532719717,0.7315721002964178,0.3101043201066772,0.5,6393.0,0.09652871098763381
,,,,71298,lstm,3,16866,2717,short-haul,classification,0.12760597845644508,0.8758438992260826,0.22275734986179746,0.758149846346896,0.2715015359186784,0.5,6073.0,0.08517770484445567
,,,,64811,lstm,4,19583,2499,short-haul,classification,0.11125730678803304,0.9439970717423133,0.19905451037144237,0.7929968842700724,0.29871783256871404,0.5,5464.0,0.0843066763358072
,,,,50598,lstm,5,22082,2092,short-haul,classification,0.11270018428634464,0.9612574717733009,0.20174704953071276,0.7697820718104176,0.27037776439118505,0.5,4517.0,0.089272303253093
